Title,price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date,id
Fortune Select JP Cosmos - Member ITC Hotel Group,"ýýý 3,188",Vasanth Nagar | 4.2 km from Kempegowda Bus Station,,3.9, (Good),2384,15%,"['Lounge', 'Butler Services', 'Free Parking']",Bangalore,09-08-2021,11-08-2021,1
Vividus,"ýýý 4,133",Gandhi Nagar | 2.0 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 3204 Off,4.4, (Very Good),676,36%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,2
Bannerghatta Nature Camp by Jungle Lodges,"ýýý 5,253",,Exclusive Offer - HDFC Credit Card Users. Get INR 2368 Off,4.7, (Excellent),48,14%,"['Kitchenette', 'Outdoor Sports', 'Lawn']",Bangalore,09-08-2021,11-08-2021,3
Starlit Suites,"ýýý 2,094",Bommasandra,Exclusive Offer - HDFC Credit Card Users. Get INR 1623 Off,4.2, (Very Good),362,25%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,4
The Park Bangalore,"ýýý 2,364",Ulsoor,Exclusive Offer - HDFC Credit Card Users. Get INR 1148 Off,4, (Very Good),2649,32%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,5
The Lalit Ashok Bangalore,"ýýý 3,008",Sheshadripuram | 3.4 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 767 Off,3.9, (Good),1233,6%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,6
Ramada Encore,"ýýý 1,520",Domlur Layout,Exclusive Offer - HDFC Credit Card Users. Get INR 738 Off,4.5, (Excellent),2889,24%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,7
The Chancery Pavilion,"ýýý 2,230",Richmond road,Exclusive Offer - HDFC Credit Card Users. Get INR 812 Off,3.9, (Good),3324,11%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,8
The Leela Palace Bangalore,"ýýý 7,000",HAL old airport road | 600 m from Leela Palace Bus Stop,Get  INR 700 Cashback to Card,4.7, (Excellent),290,22%,"['Golf', 'Yoga', 'Lounge']",Bangalore,09-08-2021,11-08-2021,9
Lemon Tree Premier Ulsoor Lake Bangalore,"ýýý 2,330",Sivanchetti Gardens,Exclusive Offer - HDFC Credit Card Users. Get INR 1213 Off,,,,,"['Business Centre', 'Conference Room', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,10
Gokulam Grand Hotel & Spa,"ýýý 4,558",Mathikere | 730 m from BEL Circle Bus Stop (Towards Mathikere & Mekiri Circle),Exclusive Offer - HDFC Credit Card Users. Get INR 2214 Off,4, (Very Good),3454,33%,"['Lounge', 'Butler Services', 'Tours and Treks']",Bangalore,09-08-2021,11-08-2021,11
OYO Townhouse 273 Hosur Main Road Bommanahalli,"ýýý 1,515",Hosur road,Exclusive Offer - HDFC Credit Card Users. Get INR 374 Off,,,,,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bangalore,09-08-2021,11-08-2021,12
The Royale Senate Race Course,"ýýý 2,388",Sevashrama | 1.7 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1485 Off,4.2, (Very Good),672,24%,"['Free Parking', 'Free Shuttle Service', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,13
